Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
62873996,"The Five-Star Weekend (Sommer in Nantucket, #1)",Elin Hilderbrand,"Hilderbrand, Elin",,"=""0316258776""","=""9780316258777""",0,"Little, Brown and Company",Hardcover,384,2023,2023,,2026/07/20,"currently-reading, fun","currently-reading (#5), fun (#52)",currently-reading,,,,1,0
209455935,Mishka,Edward van de Vendel,"Vendel, Edward van de","Anoush Elman, Nancy Forest-Flier, Annet Schaap","=""1646144589""","=""9781646144587""",0,Levine Querido,Hardcover,160,2024,2022,2026/07/18,2026/07/16,fun,fun (#51),read,,,,1,0
44870,The Works of Alexander Pope,Alexander Pope,"Pope, Alexander",Andrew Crozier,"=""1853264318""","=""9781853264313""",0,Wordsworth Editions Ltd,Paperback,432,1998,1777,2026/07/16,2026/07/04,fun,fun (#49),read,,,,1,0
50398,Northanger Abbey,Jane Austen,"Austen, Jane",Alfred Mac Adam,"=""1593082649""","=""9781593082642""",0,Barnes & Noble Classics,Paperback,260,2005,1817,,2026/07/13,"currently-reading, fun","currently-reading (#4), fun (#50)",currently-reading,,,,1,0
59616977,Building a Second Brain: A Proven Method to Organize Your Digital Life and Unlock Your Creative Potential,Tiago Forte,"Forte, Tiago",,"=""1982167386""","=""9781982167387""",0,Simon Element / Simon Acumen,Hardcover,272,2022,2022,2024/09/08,2023/01/19,career,career (#16),read,,,,2,0
34854973,The LSAT Trainer: A Remarkable Self-Study Guide For The Self-Driven Student,Mike  Kim,"Kim, Mike",,"=""0989081532""","=""9780989081535""",0,Artisanal Publishing,Paperback,598,2017,2013,,2026/07/04,"currently-reading, law-school","currently-reading (#3), law-school (#8)",currently-reading,,,,1,0
865508,Verbal Judo: The Gentle Art of Persuasion,George J. Thompson,"Thompson, George J.",Jerry B. Jenkins,"=""0060577657""","=""9780060577650""",0,Harper,Paperback,222,2004,1993,,2026/07/04,to-read,to-read (#569),to-read,,,,0,0
43264830,The School of Life: An Emotional Education,Alain de Botton,"Botton, Alain de",,"=""0241382327""","=""9780241382325""",0,Hamish Hamilton,Paperback,310,2019,2019,2026/07/04,2026/06/23,fun,fun (#48),read,,,,1,0
26072459,Cengage Learning Introduction To The Theory Of Computation,Michael Sipser,"Sipser, Michael",,"=""8131525295""","=""""",0,Cengage Learning,Paperback,480,2014,1996,2026/07/04,2023/12/10,school,school (#77),read,,,,1,0
1848954,Weather Studies: Introduction to Atmospheric Science,Joseph M. Moran,"Moran, Joseph M.",,"=""1878220748""","=""9781878220745""",0,AMS Online,Hardcover,516,2006,2006,2026/07/04,2026/06/23,school,school (#78),read,,,,1,0
43317610,The Loophole in LSAT Logical Reasoning: A Splendidly Comprehensive LSAT Study Guide to Master LSAT Self-Study,Ellen Cassidy,"Cassidy, Ellen",,"=""1732749000""","=""9781732749009""",0,Elemental Prep,Paperback,462,2018,,,2026/06/23,"to-read, law-school","to-read (#568), law-school (#7)",to-read,,,,0,0
130119,An Enquiry Concerning Human Understanding,David Hume,"Hume, David",,"=""1420926993""","=""9781420926996""",0,Digireads.Com,Paperback,96,2006,1748,,2026/06/19,"law-school, currently-reading","law-school (#3), currently-reading (#2)",currently-reading,,,,1,0
40779082,The Guns of August,Barbara W. Tuchman,"Tuchman, Barbara W.",,"=""""","=""""",0,Random House,Kindle Edition,710,2009,1962,,2026/06/19,"to-read, school, law-school","to-read (#567), school (#76), law-school (#6)",to-read,,,,0,0
174713,The Lessons of History,Will Durant,"Durant, Will",Ariel Durant,"=""1567310249""","=""9781567310245""",0,Fine Communications,Hardcover,119,1997,1968,,2026/06/19,"to-read, law-school","to-read (#566), law-school (#5)",to-read,,,,0,0
25698,An Inquiry into the Nature and Causes of the Wealth of Nations,Adam Smith,"Smith, Adam","George J. Stigler, Edwin Cannan","=""0226763749""","=""9780226763743""",0,University Of Chicago Press,Paperback,1076,1977,1776,2025/10/30,2013/08/17,"school, to-read, law-school","school (#66), to-read (#565), law-school (#4)",to-read,,,,1,0
50746034,Princeton Review LSAT Premium Prep,The Princeton Review,"Review, The Princeton",,"=""0525569227""","=""9780525569220""",0,Princeton Review,Paperback,432,2019,,,2026/06/19,"to-read, law-school","to-read (#564), law-school (#2)",to-read,,,,0,0
